Name,Price,Price per Unit,Category,Subcategory,Date
Strawberries,£1.49,(£6.56/1 KG),fresh_food,fruits,2025-05-29
Ripe & Ready Kiwis,£1.29,(£0.32/1 Each),fresh_food,fruits,2025-05-29
Kiwis,£1.19,(£0.20/1 Each),fresh_food,fruits,2025-05-29
Large Ripe & Ready Avocado,£0.89,(£0.89/1 Each),fresh_food,fruits,2025-05-29
Ripe & Ready Hass Avocados,£1.39,(£0.70/1 Each),fresh_food,fruits,2025-05-29
Ripen At Home Avocados,£1.29,(£0.32/1 Each),fresh_food,fruits,2025-05-29
Large Mango,£0.89,(£0.89/1 Each),fresh_food,fruits,2025-05-29
Ripe & Ready Mangoes,£1.69,(£0.85/1 Each),fresh_food,fruits,2025-05-29
Galia Melon,£1.79,(£1.79/1 Each),fresh_food,fruits,2025-05-29
Red Grapefruit,£0.45,(£0.45/1 Each),fresh_food,fruits,2025-05-29
White Seedless Grapes,£1.79,(£3.58/1 KG),fresh_food,fruits,2025-05-29
Seedless Red Grapes,£1.79,(£3.58/1 KG),fresh_food,fruits,2025-05-29
Black Seedless Grapes,£1.79,(£3.58/1 KG),fresh_food,fruits,2025-05-29
Mixed Seedless Grapes,£1.89,(£3.78/1 KG),fresh_food,fruits,2025-05-29
Wonky Easy Peelers,£0.99,(£1.65/1 KG),fresh_food,fruits,2025-05-29
Oranges,£1.35,(£0.27/1 Each),fresh_food,fruits,2025-05-29
Large Oranges,£1.89,(£0.47/1 Each),fresh_food,fruits,2025-05-29
Bananas,£0.78,(£0.16/1 Each),fresh_food,fruits,2025-05-29
Banana,£0.16,(£0.16/1 Each),fresh_food,fruits,2025-05-29
Fairtrade Bananas,£1.49,(£0.25/1 Each),fresh_food,fruits,2025-05-29
Mini Bananas,£0.88,(£0.13/1 Each),fresh_food,fruits,2025-05-29
Pineapple,£0.98,(£0.98/1 Each),fresh_food,fruits,2025-05-29
Unwaxed Lemons,£0.99,(£0.25/1 Each),fresh_food,fruits,2025-05-29
Wonky Lemons,£0.79,(£0.20/1 Each),fresh_food,fruits,2025-05-29
Pink Lady Apples,£2.75,(£0.46/1 Each),fresh_food,fruits,2025-05-29
Mini Easy Peelers,£0.89,(£1.78/1 KG),fresh_food,fruits,2025-05-29
Easy Peelers,£1.69,(£2.82/1 KG),fresh_food,fruits,2025-05-29
Ripe & Ready Conference Pears,£1.89,(£0.47/1 Each),fresh_food,fruits,2025-05-29
Blueberries,£1.79,(£11.93/1 KG),fresh_food,fruits,2025-05-29
Wonky Blueberries,£1.09,(£8.72/1 KG),fresh_food,fruits,2025-05-29
Pomegranate,£1.15,(£1.15/1 Each),fresh_food,fruits,2025-05-29
Cherries,£1.89,(£9.45/1 KG),fresh_food,fruits,2025-05-29
Nectarines,£1.89,(£0.47/1 Each),fresh_food,fruits,2025-05-29
Limes,£1.19,(£0.24/1 Each),fresh_food,fruits,2025-05-29
Ripen at Home Plums,£1.29,(£3.23/1 KG),fresh_food,fruits,2025-05-29
Ripen at Home Mini Pears 5 Pack,£0.99,(£1.80/1 KG),fresh_food,fruits,2025-05-29
Golden Delicious Apples,£1.49,(£0.25/1 Each),fresh_food,fruits,2025-05-29
Granny Smith Apples,£1.49,(£0.25/1 Each),fresh_food,fruits,2025-05-29
Jazz Apples,£2.09,(£0.35/1 Each),fresh_food,fruits,2025-05-29
Plums,£2.29,(£2.29/1 KG),fresh_food,fruits,2025-05-29
British Blackberries,£1.99,(£13.27/1 KG),fresh_food,fruits,2025-05-29
Braeburn Apples,£1.49,(£0.25/1 Each),fresh_food,fruits,2025-05-29
Large Bramley Apple,£0.59,(£0.59/1 Each),fresh_food,fruits,2025-05-29
Best of British Apples,£1.49,(£0.25/1 Each),fresh_food,fruits,2025-05-29
"Apple, PIneapple & Grape",£0.99,(£4.95/1 KG),fresh_food,fruits,2025-05-29
Wonky Raspberries,£1.49,(£11.92/1 KG),fresh_food,fruits,2025-05-29
Wonky Strawberries,£1.69,(£7.44/1 KG),fresh_food,fruits,2025-05-29
British Mini Apples,£0.99,(£0.17/1 Each),fresh_food,fruits,2025-05-29
Pomegranate Seeds,£0.89,(£11.13/1 KG),fresh_food,fruits,2025-05-29
British Raspberries,£1.79,(£11.93/1 KG),fresh_food,fruits,2025-05-29
Raspberries,£2.49,(£11.07/1 KG),fresh_food,fruits,2025-05-29
British Royal Gala Apples,£1.49,(£0.25/1 Each),fresh_food,fruits,2025-05-29
British Grown Raspberries,£2.29,(£15.27/1 KG),fresh_food,fruits,2025-05-29
Strawberries,£2.35,(£5.88/1 KG),fresh_food,fruits,2025-05-29
Strawberries,£3.29,(£5.48/1 KG),fresh_food,fruits,2025-05-29
