Name,Price,Discount price,Category,Subcategory,Store_Name,Year,Month,Day,Standardised price per unit,Unit_kg
Cathedral City Half Fat Mature Cheddar Shredded 180g,2.55,,fresh_food,cheese,Asda,2024,12,18,14.17,1.0
Sheese The Italiano Mozzarella & Cheddar Flavour,2.0,,fresh_food,cheese,Asda,2024,12,18,10.0,1.0
Cathedral City Our Plant Based 6 Dairy Free Cheese Alternative Slices 150g,2.5,,fresh_food,cheese,Asda,2024,12,18,16.67,1.0
Monterey Jack Cheese Slices 300g,3.5,,fresh_food,cheese,Asda,2024,12,18,11.67,1.0
ASDA Grated Continental Cheese Mix 250g,2.55,,fresh_food,cheese,Asda,2024,12,18,10.2,1.0
Philadelphia Intense Garlic & Herbs 140g,1.75,,fresh_food,cheese,Asda,2024,12,18,12.5,1.0
ASDA Creamy Original Soft Cheese 200g,1.3,,fresh_food,cheese,Asda,2024,12,18,6.5,1.0
Philadelphia Original 280g,3.25,,fresh_food,cheese,Asda,2024,12,18,11.61,1.0
Philadelphia Garlic & Herbs Family Pack 280g,3.25,,fresh_food,cheese,Asda,2024,12,18,11.61,1.0
The Laughing Cow Light Cheese Spread 16 Triangles,2.95,,fresh_food,cheese,Asda,2024,12,18,11.05,1.0
The Laughing Cow Original Cheese Spread 16 Triangles,2.95,,fresh_food,cheese,Asda,2024,12,18,11.05,1.0
Philadelphia Original 165g,1.25,,fresh_food,cheese,Asda,2024,12,18,7.58,1.0
Philadelphia Light 280g,3.25,,fresh_food,cheese,Asda,2024,12,18,11.61,1.0
Dairylea Cheese Triangles x16,2.95,,fresh_food,cheese,Asda,2024,12,18,11.8,1.0
Dairylea Cheese Spread,2.95,,fresh_food,cheese,Asda,2024,12,18,10.93,1.0
Primula Cheese 'n' Ham,1.35,,fresh_food,cheese,Asda,2024,12,18,9.64,1.0
Primula Original Cheese,1.35,,fresh_food,cheese,Asda,2024,12,18,9.64,1.0
Primula Cheese 'n' Chives,1.35,,fresh_food,cheese,Asda,2024,12,18,9.64,1.0
Primula Light Cheese,1.35,,fresh_food,cheese,Asda,2024,12,18,9.64,1.0
Dairylea Cheese Spread 145g,1.5,,fresh_food,cheese,Asda,2024,12,18,10.34,1.0
Appeteasers Provence Mix,1.75,,fresh_food,cheese,Asda,2024,12,18,17.5,1.0
ASDA Light Garlic & Herb Soft Cheese 200g,1.3,,fresh_food,cheese,Asda,2024,12,18,6.5,1.0
Boursin Garlic & Herbs Soft French Cream Cheese 150g,2.95,,fresh_food,cheese,Asda,2024,12,18,19.67,1.0
ASDA Light Original Soft Cheese 200g,1.3,,fresh_food,cheese,Asda,2024,12,18,6.5,1.0
ASDA Garlic & Herb Roulé 125g,2.0,,fresh_food,cheese,Asda,2024,12,18,16.0,1.0
Castello Taste of Hawaii Pineapple & Almond Cream Cheese Ring,1.5,,fresh_food,cheese,Asda,2024,12,18,12.0,1.0
Longley Farm Natural Cottage Cheese,1.5,,fresh_food,cheese,Asda,2024,12,18,6.0,1.0
Philadelphia Chives 165g,1.25,,fresh_food,cheese,Asda,2024,12,18,7.58,1.0
Philadelphia Sweet Chilli Soft Cheese 165g,1.25,,fresh_food,cheese,Asda,2024,12,18,7.58,1.0
Seriously Original Spreadable 250g,2.59,,fresh_food,cheese,Asda,2024,12,18,10.4,1.0
Philadelphia Garlic & Herbs 165g,1.25,,fresh_food,cheese,Asda,2024,12,18,7.58,1.0
Longley Farm Cottage Cheese with Pineapple,1.5,,fresh_food,cheese,Asda,2024,12,18,6.0,1.0
JUST ESSENTIALS by ASDA Cottage Cheese,0.79,,fresh_food,cheese,Asda,2024,12,18,2.63,1.0
ASDA Fat Free Cottage Cheese 300g,1.3,,fresh_food,cheese,Asda,2024,12,18,4.33,1.0
Philadelphia Light 165g,1.25,,fresh_food,cheese,Asda,2024,12,18,7.58,1.0
Philadelphia Light Portions 4 x 35g (140g),1.5,,fresh_food,cheese,Asda,2024,12,18,10.71,1.0
ASDA Cottage Cheese 300g,1.3,,fresh_food,cheese,Asda,2024,12,18,4.33,1.0
Philadelphia Milka 150g,1.25,,fresh_food,cheese,Asda,2024,12,18,8.33,1.0
ASDA Fat Free Cottage Cheese with Pineapple 300g,1.3,,fresh_food,cheese,Asda,2024,12,18,4.33,1.0
Longley Farm Virtually Fat Free Cottage Cheese,1.5,,fresh_food,cheese,Asda,2024,12,18,6.0,1.0
ASDA Fat Free Cottage Cheese With Onion & Chive 300g,1.3,,fresh_food,cheese,Asda,2024,12,18,4.33,1.0
Philadelphia Lightest 165g,1.25,,fresh_food,cheese,Asda,2024,12,18,7.58,1.0
Primula Signature Blend Mature Cheese 140g,1.35,,fresh_food,cheese,Asda,2024,12,18,9.64,1.0
Philadelphia Lactose Free Soft Cheese,2.75,,fresh_food,cheese,Asda,2024,12,18,18.33,1.0
The Laughing Cow Original Cheese Spread 8 Triangles,1.9,,fresh_food,cheese,Asda,2024,12,18,14.29,1.0
Exceptional by ASDA Langres AOP 180g,3.35,,fresh_food,cheese,Asda,2024,12,18,18.61,1.0
Boursin Limited Edition Trio Gourmand 3 Flavours Edition 3 x 80g (240g),4.0,,fresh_food,cheese,Asda,2024,12,18,16.67,1.0
Piatnica Cottage Cheese 200g,1.1,,fresh_food,cheese,Asda,2024,12,18,5.5,1.0
Violife Creamy Original Soft Cheese Alternative,2.0,,fresh_food,cheese,Asda,2024,12,18,10.0,1.0
Cheese Selection Box,4.2,,fresh_food,cheese,Asda,2024,12,18,16.8,1.0
ASDA Extra Special Whipped Soft Cream Cheese 150g,1.5,,fresh_food,cheese,Asda,2024,12,18,10.0,1.0
Castello Chilli & Ginger Cream Cheese Ring 125g,1.5,,fresh_food,cheese,Asda,2024,12,18,12.0,1.0
,0.85,,cupboard,treats_snacks,Asda,2024,12,18,21.25,1.0
Dairylea Dunkers Bread Sticks 3 x 43g (129g),2.25,,cupboard,treats_snacks,Asda,2024,12,18,17.44,1.0
Cathedral City Mini Extra Mature Cheeses,2.1,,cupboard,treats_snacks,Asda,2024,12,18,17.5,1.0
The Laughing Cow Light Cheese Spread 16 Triangles,2.95,,cupboard,treats_snacks,Asda,2024,12,18,11.05,1.0
ASDA Mini Mature British Cheddar Cheese 40g,0.85,,cupboard,treats_snacks,Asda,2024,12,18,21.25,1.0
The Laughing Cow Original Cheese Spread 16 Triangles,2.95,,cupboard,treats_snacks,Asda,2024,12,18,11.05,1.0
Dairylea Cheese Slices 8 x 20.5g,1.45,,cupboard,treats_snacks,Asda,2024,12,18,8.84,1.0
The Laughing Cow Light Blue Cheese Spread Triangles x8,1.9,,cupboard,treats_snacks,Asda,2024,12,18,14.84,1.0
The Laughing Cow Lightest Cheese Spread 8 Triangles,1.9,,cupboard,treats_snacks,Asda,2024,12,18,14.29,1.0
Cathedral City Nibbles 5 x 16g,1.95,,cupboard,treats_snacks,Asda,2024,12,18,24.38,1.0
Mini Babybel Original Cheese Snack x12,3.55,,cupboard,treats_snacks,Asda,2024,12,18,14.79,1.0
