Name,Price,Discount price,Category,Subcategory,Store_Name,Year,Month,Day,Standardised price per unit,Unit_each,Unit_kg,Unit_litre
Sainsbury's Fairtrade Bananas Loose,0.9,,fresh_food,fruits,Sainsburys,2024,12,18,0.9,0.0,1.0,0.0
Sainsbury's Fairtrade Bananas x5,0.78,,fresh_food,fruits,Sainsburys,2024,12,18,0.16,1.0,0.0,0.0
"Sainsbury's Easy Peelers, Taste the Difference 600g",2.0,1.0,fresh_food,fruits,Sainsburys,2024,12,18,3.33,0.0,1.0,0.0
Sainsbury's Red Seedless Grapes 500g,2.0,,fresh_food,fruits,Sainsburys,2024,12,18,4.0,0.0,1.0,0.0
Sainsbury's Blueberries 300g,3.4,2.8,fresh_food,fruits,Sainsburys,2024,12,18,11.33,0.0,1.0,0.0
Sainsbury's Fairtrade Bananas x8,1.25,,fresh_food,fruits,Sainsburys,2024,12,18,0.16,1.0,0.0,0.0
Sainsbury's Blueberries 150g,2.0,,fresh_food,fruits,Sainsburys,2024,12,18,13.33,0.0,1.0,0.0
Sainsbury's White Seedless Grapes 500g,2.0,,fresh_food,fruits,Sainsburys,2024,12,18,4.0,0.0,1.0,0.0
Sainsbury's Strawberries 250g,2.5,,fresh_food,fruits,Sainsburys,2024,12,18,10.0,0.0,1.0,0.0
Sainsbury's Raspberries 150g,2.0,,fresh_food,fruits,Sainsburys,2024,12,18,13.33,0.0,1.0,0.0
Sainsbury’s Medium Ripe & Ready Avocados x2,1.65,,fresh_food,fruits,Sainsburys,2024,12,18,0.83,1.0,0.0,0.0
Sainsbury's Lemons,0.3,,fresh_food,fruits,Sainsburys,2024,12,18,0.3,1.0,0.0,0.0
Sainsbury's Pink Lady Apples x6,2.8,2.5,fresh_food,fruits,Sainsburys,2024,12,18,0.47,1.0,0.0,0.0
"Sainsbury's Small Bananas, Fairtrade x8",1.0,,fresh_food,fruits,Sainsburys,2024,12,18,0.13,1.0,0.0,0.0
Sainsbury's Royal Gala Apples x6,1.7,,fresh_food,fruits,Sainsburys,2024,12,18,0.28,1.0,0.0,0.0
Sainsbury's Lemons Unwaxed minimum 5,1.5,1.0,fresh_food,fruits,Sainsburys,2024,12,18,0.3,1.0,0.0,0.0
Sainsbury's Braeburn Apples x6,1.7,1.3,fresh_food,fruits,Sainsburys,2024,12,18,0.28,1.0,0.0,0.0
Sainsbury's Red & White Seedless Grapes 500g,2.0,,fresh_food,fruits,Sainsburys,2024,12,18,4.0,0.0,1.0,0.0
Sainsbury's Satsumas 600g,1.35,0.99,fresh_food,fruits,Sainsburys,2024,12,18,2.25,0.0,1.0,0.0
Sainsbury's Limes,0.24,,fresh_food,fruits,Sainsburys,2024,12,18,0.24,1.0,0.0,0.0
Sainsbury's Raspberries 250g,2.9,,fresh_food,fruits,Sainsburys,2024,12,18,11.6,0.0,1.0,0.0
Sainsbury's Conference Pears x4,1.7,1.2,fresh_food,fruits,Sainsburys,2024,12,18,0.43,1.0,0.0,0.0
"Sainsbury's Conference Pears, Ripe & Ready x4",2.3,,fresh_food,fruits,Sainsburys,2024,12,18,0.58,1.0,0.0,0.0
"Sainsbury's Fairtrade Bananas, SO Organic x6",1.8,,fresh_food,fruits,Sainsburys,2024,12,18,0.3,1.0,0.0,0.0
Stamford Street Co. Mini Apples x6,1.09,,fresh_food,fruits,Sainsburys,2024,12,18,0.18,1.0,0.0,0.0
Sainsbury's Strawberries 400g,3.4,,fresh_food,fruits,Sainsburys,2024,12,18,8.5,0.0,1.0,0.0
Sainsbury's Pink Lady Apples x4,2.3,,fresh_food,fruits,Sainsburys,2024,12,18,0.58,1.0,0.0,0.0
Sainsbury's Easy Peelers 600g,0.95,,fresh_food,fruits,Sainsburys,2024,12,18,1.58,0.0,1.0,0.0
"Sainsbury's Oranges, Taste the Difference x4",2.25,,fresh_food,fruits,Sainsburys,2024,12,18,0.56,1.0,0.0,0.0
Sainsbury's Blueberries 500g,4.5,,fresh_food,fruits,Sainsburys,2024,12,18,9.0,0.0,1.0,0.0
Stamford Street Co. Unwaxed Lemons x5,0.86,,fresh_food,fruits,Sainsburys,2024,12,18,0.17,1.0,0.0,0.0
Sainsbury's Honeydew Melon,1.89,1.39,fresh_food,fruits,Sainsburys,2024,12,18,1.89,1.0,0.0,0.0
Sainsbury's Oranges Large x4,2.0,,fresh_food,fruits,Sainsburys,2024,12,18,0.5,1.0,0.0,0.0
Sainsbury's Granny Smith Apples x6,1.7,,fresh_food,fruits,Sainsburys,2024,12,18,0.28,1.0,0.0,0.0
Sainsbury's Limes x5,1.29,,fresh_food,fruits,Sainsburys,2024,12,18,0.26,1.0,0.0,0.0
Stamford Street Co. Easy Peelers,0.89,,fresh_food,fruits,Sainsburys,2024,12,18,1.48,0.0,1.0,0.0
