Name,Price,Category,Subcategory,Store_Name,Year,Month,Day,Standardised price per unit,Unit_each,Unit_kg,Unit_litre,Discount price
Waitrose Perfectly Ripe Kiwi,2.6,fresh_food,fruit,Waitrose,2025,2,4,0.65,1.0,0.0,0.0,
Waitrose Smitten Apples,1.68,fresh_food,fruit,Waitrose,2025,2,4,0.42,1.0,0.0,0.0,
Waitrose Perfectly Ripe Golden Kiwi,3.5,fresh_food,fruit,Waitrose,2025,2,4,0.875,1.0,0.0,0.0,
MyJool Snack Pack Dates,1.0,fresh_food,fruit,Waitrose,2025,2,4,20.0,0.0,1.0,0.0,
Essential Lemons,1.5,fresh_food,fruit,Waitrose,2025,2,4,0.25,1.0,0.0,0.0,
Essential Fairtrade Bananas,0.2,fresh_food,fruit,Waitrose,2025,2,4,1.1,0.0,1.0,0.0,
Essential Fairtrade Bananas,0.95,fresh_food,fruit,Waitrose,2025,2,4,0.19,1.0,0.0,0.0,
Perfectly Ripe Avocados,1.9,fresh_food,fruit,Waitrose,2025,2,4,0.95,1.0,0.0,0.0,
Waitrose Seedless Easy Peelers,2.5,fresh_food,fruit,Waitrose,2025,2,4,4.17,0.0,1.0,0.0,
Essential Lemons,0.35,fresh_food,fruit,Waitrose,2025,2,4,0.35,1.0,0.0,0.0,
Waitrose Small Fairtrade Bananas,1.25,fresh_food,fruit,Waitrose,2025,2,4,0.179,1.0,0.0,0.0,
Waitrose Red Seedless Grapes,2.4,fresh_food,fruit,Waitrose,2025,2,4,4.8,0.0,1.0,0.0,
Waitrose Green Seedless Grapes,2.4,fresh_food,fruit,Waitrose,2025,2,4,4.8,0.0,1.0,0.0,
Waitrose Blueberries,4.6,fresh_food,fruit,Waitrose,2025,2,4,12.78,0.0,1.0,0.0,
Waitrose Strawberries,2.7,fresh_food,fruit,Waitrose,2025,2,4,11.74,0.0,1.0,0.0,
Waitrose Raspberries,3.7,fresh_food,fruit,Waitrose,2025,2,4,16.45,0.0,1.0,0.0,
Waitrose Pink Lady Apples,2.06,fresh_food,fruit,Waitrose,2025,2,4,0.515,1.0,0.0,0.0,
Waitrose Blueberries,3.5,fresh_food,fruit,Waitrose,2025,2,4,15.56,0.0,1.0,0.0,
Cooks' Ingredients Unwaxed Lemons,1.7,fresh_food,fruit,Waitrose,2025,2,4,0.425,1.0,0.0,0.0,
Waitrose Perfectly Ripe Avocado,1.2,fresh_food,fruit,Waitrose,2025,2,4,1.2,1.0,0.0,0.0,
Duchy Organic Blueberries,2.5,fresh_food,fruit,Waitrose,2025,2,4,20.0,0.0,1.0,0.0,
Waitrose Seedless Grape Selection,2.6,fresh_food,fruit,Waitrose,2025,2,4,6.5,0.0,1.0,0.0,
Essential Blueberries,2.0,fresh_food,fruit,Waitrose,2025,2,4,13.34,0.0,1.0,0.0,
Waitrose Tangerines,2.5,fresh_food,fruit,Waitrose,2025,2,4,4.17,0.0,1.0,0.0,
Waitrose Perfectly Ripe Conference Pear,2.75,fresh_food,fruit,Waitrose,2025,2,4,0.688,1.0,0.0,0.0,
Essential British Bramley Cooking Apples,0.59,fresh_food,fruit,Waitrose,2025,2,4,2.5,0.0,1.0,0.0,
Essential Limes,0.3,fresh_food,fruit,Waitrose,2025,2,4,0.3,1.0,0.0,0.0,
Waitrose Conference Pears Loose,0.5,fresh_food,fruit,Waitrose,2025,2,4,2.5,0.0,1.0,0.0,
Duchy Organic Fairtrade Bananas,1.95,fresh_food,fruit,Waitrose,2025,2,4,0.325,1.0,0.0,0.0,
Waitrose Red Grapefruit,0.6,fresh_food,fruit,Waitrose,2025,2,4,0.6,1.0,0.0,0.0,
Essential Easy Peelers,1.5,fresh_food,fruit,Waitrose,2025,2,4,2.5,0.0,1.0,0.0,
Waitrose Braeburn Apples min 5,1.8,fresh_food,fruit,Waitrose,2025,2,4,0.36,1.0,0.0,0.0,
Waitrose Blueberries,2.5,fresh_food,fruit,Waitrose,2025,2,4,16.67,0.0,1.0,0.0,
Waitrose Essential Strawberries,2.5,fresh_food,fruit,Waitrose,2025,2,4,10.87,0.0,1.0,0.0,
Waitrose Pink Lady Apples,3.0,fresh_food,fruit,Waitrose,2025,2,4,0.5,1.0,0.0,0.0,
Waitrose Royal Gala Apples,1.8,fresh_food,fruit,Waitrose,2025,2,4,0.3,1.0,0.0,0.0,
Waitrose Yellow Flesh Nectarines,3.0,fresh_food,fruit,Waitrose,2025,2,4,0.75,1.0,0.0,0.0,
Waitrose Large Oranges,2.8,fresh_food,fruit,Waitrose,2025,2,4,0.467,1.0,0.0,0.0,
Essential Limes,1.5,fresh_food,fruit,Waitrose,2025,2,4,0.25,1.0,0.0,0.0,
Waitrose Easy Peelers Box,2.77,fresh_food,fruit,Waitrose,2025,2,4,2.77,0.0,1.0,0.0,
Waitrose Raspberries,2.6,fresh_food,fruit,Waitrose,2025,2,4,17.34,0.0,1.0,0.0,
Waitrose Black Seedless Grapes,2.8,fresh_food,fruit,Waitrose,2025,2,4,7.0,0.0,1.0,0.0,
Waitrose Perfectly Ripe Large Mango,2.0,fresh_food,fruit,Waitrose,2025,2,4,2.0,1.0,0.0,0.0,
Essential Raspberries,2.2,fresh_food,fruit,Waitrose,2025,2,4,14.67,0.0,1.0,0.0,
Waitrose Large Orange,0.65,fresh_food,fruit,Waitrose,2025,2,4,0.65,1.0,0.0,0.0,
Waitrose Cantaloupe Melon,2.9,fresh_food,fruit,Waitrose,2025,2,4,2.9,1.0,0.0,0.0,
Waitrose Royal Gala Apples Loose,0.34,fresh_food,fruit,Waitrose,2025,2,4,2.2,0.0,1.0,0.0,
Waitrose Jazz Apples,2.45,fresh_food,fruit,Waitrose,2025,2,4,0.613,1.0,0.0,0.0,
Waitrose Mango Chunks,2.92,fresh_food,fruit,Waitrose,2025,2,4,10.43,0.0,1.0,0.0,
Essential Oranges,1.5,fresh_food,fruit,Waitrose,2025,2,4,0.3,1.0,0.0,0.0,
Duchy Organic Gala Apples,2.25,fresh_food,fruit,Waitrose,2025,2,4,0.563,1.0,0.0,0.0,
Waitrose Conference Pears,2.4,fresh_food,fruit,Waitrose,2025,2,4,0.6,1.0,0.0,0.0,
Waitrose Pomegranate,2.36,fresh_food,fruit,Waitrose,2025,2,4,11.24,0.0,1.0,0.0,
Waitrose Jazz Apples,2.08,fresh_food,fruit,Waitrose,2025,2,4,0.41600000000000004,1.0,0.0,0.0,
Waitrose Perfectly Ripe Golden Kiwi,3.5,fresh_food,fruit,Waitrose,2025,2,4,0.875,1.0,0.0,0.0,
Waitrose Blush Oranges,3.0,fresh_food,fruit,Waitrose,2025,2,4,0.75,1.0,0.0,0.0,
Duchy Organic Lemons,2.0,fresh_food,fruit,Waitrose,2025,2,4,0.667,1.0,0.0,0.0,
Waitrose White Flesh Nectarines,3.0,fresh_food,fruit,Waitrose,2025,2,4,0.75,1.0,0.0,0.0,
Waitrose Cox Apples,1.7,fresh_food,fruit,Waitrose,2025,2,4,0.28300000000000003,1.0,0.0,0.0,
Waitrose Granny Smith Apples,1.8,fresh_food,fruit,Waitrose,2025,2,4,0.3,1.0,0.0,0.0,
Waitrose Perfectly Ripe Large Solo Papaya,3.4,fresh_food,fruit,Waitrose,2025,2,4,3.4,1.0,0.0,0.0,
Waitrose Cherries,3.0,fresh_food,fruit,Waitrose,2025,2,4,10.0,0.0,1.0,0.0,
Waitrose Blackberries,3.0,fresh_food,fruit,Waitrose,2025,2,4,20.0,0.0,1.0,0.0,
Perfectly Ripe & Home Ripen Avocados,1.9,fresh_food,fruit,Waitrose,2025,2,4,0.95,1.0,0.0,0.0,
Essential Mini Easy Peelers,1.5,fresh_food,fruit,Waitrose,2025,2,4,2.5,0.0,1.0,0.0,
Waitrose Pitted Medjool Dates,2.9,fresh_food,fruit,Waitrose,2025,2,4,17.58,0.0,1.0,0.0,
Essential Galia Melon,2.1,fresh_food,fruit,Waitrose,2025,2,4,2.1,1.0,0.0,0.0,
