Name,Price,Discount price,Category,Subcategory,Store_Name,Year,Month,Day,Standardised price per unit,Unit_each,Unit_kg,Unit_litre
ASDA Sweet & Plump Raspberries,1.89,,fresh_food,fruits,Asda,2025,3,11,12.6,0.0,1.0,0.0
ASDA Ripe & Sweet Strawberries,3.48,,fresh_food,fruits,Asda,2025,3,11,5.8,0.0,1.0,0.0
ASDA Ripe & Sweet Strawberries,1.98,,fresh_food,fruits,Asda,2025,3,11,8.72,0.0,1.0,0.0
ASDA Tangy & Tropical Pineapple (Ripe & Ready To Eat),0.99,,fresh_food,fruits,Asda,2025,3,11,0.99,1.0,0.0,0.0
JUST ESSENTIALS by ASDA Farm Stores Cherries,2.0,,fresh_food,fruits,Asda,2025,3,11,10.0,0.0,1.0,0.0
ASDA 6 Sweet & Creamy Bananas,0.94,,fresh_food,fruits,Asda,2025,3,11,0.157,1.0,0.0,0.0
ASDA Ripe & Sweet Strawberries 400g,3.28,,fresh_food,fruits,Asda,2025,3,11,8.2,0.0,1.0,0.0
ASDA Delicate & Smooth Papaya (Typically 350g),1.87,,fresh_food,fruits,Asda,2025,3,11,1.87,1.0,0.0,0.0
ASDA Tangy & Juicy Sweetclems,0.98,,fresh_food,fruits,Asda,2025,3,11,1.63,0.0,1.0,0.0
ASDA Garden Gang Super Easy Peelers,0.96,,fresh_food,fruits,Asda,2025,3,11,1.92,0.0,1.0,0.0
JUST ESSENTIALS by ASDA Pears (Colour and Variety may vary),0.9,,fresh_food,fruits,Asda,2025,3,11,1.8,0.0,1.0,0.0
ASDA Garden Gang Amazing Apples (Colour may vary),0.98,,fresh_food,fruits,Asda,2025,3,11,0.163,1.0,0.0,0.0
ASDA Creamy & Nutty Avocados,1.49,,fresh_food,fruits,Asda,2025,3,11,0.745,1.0,0.0,0.0
ASDA Sweet & Bursting Blueberries 300g,2.96,,fresh_food,fruits,Asda,2025,3,11,9.87,0.0,1.0,0.0
ASDA Sweet & Crunchy Pomegranate Seeds,1.09,,fresh_food,fruits,Asda,2025,3,11,13.62,0.0,1.0,0.0
ASDA Garden Gang 7 Brilliant Bananas,0.68,,fresh_food,fruits,Asda,2025,3,11,0.09699999999999999,1.0,0.0,0.0
JUST ESSENTIALS by ASDA Kiwis,1.19,,fresh_food,fruits,Asda,2025,3,11,0.198,1.0,0.0,0.0
ASDA Sweet & Delicate Conference Pears,1.87,,fresh_food,fruits,Asda,2025,3,11,0.46799999999999997,1.0,0.0,0.0
ASDA Ready to Eat Tropical & Sweet Large Mango (Typically 350g),0.94,,fresh_food,fruits,Asda,2025,3,11,0.94,1.0,0.0,0.0
ASDA Sweet & Juicy Medium Oranges,1.29,,fresh_food,fruits,Asda,2025,3,11,0.258,1.0,0.0,0.0
ASDA Tart & Juicy Granny Smith Apples,1.49,,fresh_food,fruits,Asda,2025,3,11,0.248,1.0,0.0,0.0
ASDA Sweet & Juicy Royal Gala Apples,1.49,,fresh_food,fruits,Asda,2025,3,11,0.248,1.0,0.0,0.0
ASDA Loose Red Grapefruit,0.52,,fresh_food,fruits,Asda,2025,3,11,0.52,1.0,0.0,0.0
JUST ESSENTIALS by ASDA Farm Stores Strawberries 227g,1.79,,fresh_food,fruits,Asda,2025,3,11,7.89,0.0,1.0,0.0
ASDA Sweet & Refreshing Honeydew Melon,1.89,,fresh_food,fruits,Asda,2025,3,11,1.89,1.0,0.0,0.0
ASDA Juicy & Sweet Mango Fingers,1.55,,fresh_food,fruits,Asda,2025,3,11,11.07,0.0,1.0,0.0
ASDA Extra Special Sable Seedless Grapes 400g,1.98,,fresh_food,fruits,Asda,2025,3,11,4.95,0.0,1.0,0.0
JUST ESSENTIALS by ASDA 4 Avocados,1.29,,fresh_food,fruits,Asda,2025,3,11,0.322,1.0,0.0,0.0
JUST ESSENTIALS by ASDA Lemons,0.69,,fresh_food,fruits,Asda,2025,3,11,0.172,1.0,0.0,0.0
