Name,Price,Discount price,Category,Subcategory,Store_Name,Year,Month,Day,Standardised price per unit,Unit_each,Unit_kg,Unit_litre
Tesco Pink Lady Apples 5 Pack,2.8,,fresh_food,fruits,Tesco,2025,5,12,0.56,1.0,0.0,0.0
Large Conference Pears Class 1 Loose,0.52,,fresh_food,fruits,Tesco,2025,5,12,2.75,0.0,1.0,0.0
Rosedene Farms Gala Apples 6 Pack,1.49,,fresh_food,fruits,Tesco,2025,5,12,0.25,1.0,0.0,0.0
Tesco Fairtrade Organic Bananas 5 Pack,1.5,,fresh_food,fruits,Tesco,2025,5,12,0.3,1.0,0.0,0.0
Jaffa Easy Peelers 600g,2.0,,fresh_food,fruits,Tesco,2025,5,12,3.33,0.0,1.0,0.0
Tesco Granny Smith Apples 5 Pack,1.7,,fresh_food,fruits,Tesco,2025,5,12,0.34,1.0,0.0,0.0
Tesco Orange Minimum 5 Pack,1.5,,fresh_food,fruits,Tesco,2025,5,12,0.3,1.0,0.0,0.0
Tesco Blueberries 150G,1.9,,fresh_food,fruits,Tesco,2025,5,12,12.67,0.0,1.0,0.0
Tesco Braeburn Apple 5 Pack,1.7,,fresh_food,fruits,Tesco,2025,5,12,0.34,1.0,0.0,0.0
Tesco Lemons 4 Pack,1.2,,fresh_food,fruits,Tesco,2025,5,12,0.3,1.0,0.0,0.0
Jaffa Orange Pack,2.1,£1.60 Clubcard Price,fresh_food,fruits,Tesco,2025,5,12,0.52,1.0,0.0,0.0
Suntrail Farms Grapes 500G,1.69,,fresh_food,fruits,Tesco,2025,5,12,3.38,0.0,1.0,0.0
Suntrail Farms Price Lemons Minimum 4 Pack,0.79,,fresh_food,fruits,Tesco,2025,5,12,0.2,1.0,0.0,0.0
Tesco Raspberries 150G,1.9,,fresh_food,fruits,Tesco,2025,5,12,12.67,0.0,1.0,0.0
Tesco Strawberries 400G,2.5,,fresh_food,fruits,Tesco,2025,5,12,6.25,0.0,1.0,0.0
Tesco Honeydew Melon,1.89,,fresh_food,fruits,Tesco,2025,5,12,1.89,1.0,0.0,0.0
Tesco Gala Apples 5 Pack,1.7,,fresh_food,fruits,Tesco,2025,5,12,0.34,1.0,0.0,0.0
Tesco Red Grapefruit Each,0.49,,fresh_food,fruits,Tesco,2025,5,12,0.49,1.0,0.0,0.0
Rosedene Farms Small Apple 6 Pack,1.0,69p Clubcard Price,fresh_food,fruits,Tesco,2025,5,12,0.17,1.0,0.0,0.0
Tesco Sweet Easy Peelers 600g,1.19,,fresh_food,fruits,Tesco,2025,5,12,1.98,0.0,1.0,0.0
Tesco Lemons Each,0.3,,fresh_food,fruits,Tesco,2025,5,12,0.3,1.0,0.0,0.0
Tesco Oranges Each,0.3,,fresh_food,fruits,Tesco,2025,5,12,0.3,1.0,0.0,0.0
Tesco Blueberries 250G,2.45,£2.00 Clubcard Price,fresh_food,fruits,Tesco,2025,5,12,9.8,0.0,1.0,0.0
Tesco Small Bananas 6 Pack,0.75,,fresh_food,fruits,Tesco,2025,5,12,0.12,1.0,0.0,0.0
Tesco Pink Lady Apples 5 Pack,2.8,,fresh_food,fruits,Tesco,2025,5,12,0.56,1.0,0.0,0.0
Large Conference Pears Class 1 Loose,0.52,,fresh_food,fruits,Tesco,2025,5,12,2.75,0.0,1.0,0.0
