Name,Price,Price per Unit,Clubcard Discount,Category,Date
Tesco Finest Clementine Or Sweet Easy Peeler 600G,null,null,null,fruits,2024-11-05
Jaffa Clementine Or Sweet Easy Peeler 600G,£2.00,£3.33/kg,Any 2 for £3 Clubcard Price - Selected Fruits,fruits,2024-11-05
Large Conference Pears Loose Class 1,£0.49,£2.60/kg,null,fruits,2024-11-05
Tesco Pink Lady Apple Minimum 5 Pack,£2.80,£0.56/each,null,fruits,2024-11-05
Rosedene Farms Gala Apples 6 Pack,£1.49,£0.25/each,null,fruits,2024-11-05
Tesco Granny Smith Apple Minimum 5 Pack,£1.70,£0.34/each,null,fruits,2024-11-05
Tesco Organic Fair Trade Bananas 5 Pack,£1.50,£0.30/each,£1.35 Clubcard Price,fruits,2024-11-05
Tesco Braeburn Apple 5 Pack,£1.70,£0.34/each,£1.40 Clubcard Price,fruits,2024-11-05
Tesco Gala Apple Minimum 5 Pack,£1.70,£0.34/each,null,fruits,2024-11-05
Tesco Conference Pears Pack 610G,£1.70,£2.79/kg,Any 2 for £3 Clubcard Price - Selected Fruits,fruits,2024-11-05
Tesco Orange Minimum 5 Pack,null,null,null,fruits,2024-11-05
Tesco Blueberries 150G,£1.80,£12.00/kg,null,fruits,2024-11-05
Tesco Lemons 4 Pack,£1.20,£0.30/each,null,fruits,2024-11-05
Tesco Strawberries 227G,£2.30,£10.13/kg,null,fruits,2024-11-05
Tesco Blueberries 250G,£2.65,£10.60/kg,null,fruits,2024-11-05
Rosedene Farms Small Apple 6 Pack,£1.09,£0.18/each,null,fruits,2024-11-05
Suntrail Farms Price Lemons Minimum 4 Pack,£0.69,£0.17/each,null,fruits,2024-11-05
Jaffa Orange Pack,£2.00,£0.50/each,£1.60 Clubcard Price,fruits,2024-11-05
Tesco Red Grapefruit Each,£0.55,£0.55/each,null,fruits,2024-11-05
Tesco Raspberries 150G,£1.90,£12.67/kg,null,fruits,2024-11-05
Tesco Honeydew Melon,£1.89,£1.89/each,null,fruits,2024-11-05
Tesco Clementine Or Sweet Easy Peeler Pack 600G,£1.19,£1.98/kg,null,fruits,2024-11-05
Tesco Green Seedless Grapes Pack 500G,null,null,null,fruits,2024-11-05
Suntrail Farms Grapes 500G,£1.59,£3.18/kg,null,fruits,2024-11-05
Tesco Satsumas 600G,£1.35,£2.25/kg,null,fruits,2024-11-05
Tesco Lemons Each,£0.30,£0.30/each,null,fruits,2024-11-05
Tesco Small Bananas 6 Pack,£0.75,£0.12/each,null,fruits,2024-11-05
Tesco Bananas Loose,£0.16,£0.90/kg,null,fruits,2024-11-05
Tesco Oranges Each,£0.30,£0.30/each,null,fruits,2024-11-05
Tesco Limes Each,£0.24,£0.24/each,null,fruits,2024-11-05
Tesco Ripe Bananas 5 Pack,£0.78,£0.16/each,null,fruits,2024-11-05
Tesco Perfectly Ripe Mango,£0.95,£0.95/each,null,fruits,2024-11-05
Tesco Walnut Pieces 250G,£3.60,£14.40/kg,null,fruits,2024-11-05
Tesco Walnuts 200G,£2.65,£13.25/kg,null,fruits,2024-11-05
Tesco Mixed Nuts 200G,£2.65,£13.25/kg,null,fruits,2024-11-05
Large Pink Lady Apples Loose Class 1,null,null,null,fruits,2024-11-05
Tesco Jazz Apple 6 Pack,£2.35,£0.39/each,null,fruits,2024-11-05
Tesco Apple Snack Pack 80G,£0.60,£7.50/kg,Any 3 for 2 Clubcard Price - Cheapest Product Free - Selected Better Snacking,fruits,2024-11-05
Tesco Mini Watermelon,£2.30,£2.30/each,null,fruits,2024-11-05
Tesco Organic Unwaxed Lemons Minimum 3 Pack,£1.90,£0.63/each,null,fruits,2024-11-05
Tesco Bramley Cooking Apples Loose,£0.55,£2.20/kg,null,fruits,2024-11-05
Jaffa Jumbo Orange Minimum 4 Pack,£2.10,£0.52/each,null,fruits,2024-11-05
Tesco Pomegranate Seeds 80G,£1.35,£16.88/kg,null,fruits,2024-11-05
Tesco Golden Delicious Apple Minimum 5 Pack,£1.70,£0.34/each,null,fruits,2024-11-05
Finest Strawberries 227G,£3.00,£13.22/kg,null,fruits,2024-11-05
Tesco Perfectly Ripe Conference Minimum 4 Pack Pear,£2.30,£0.58/each,null,fruits,2024-11-05
Tesco Cantaloupe Melon Each,null,null,Any 2 for £3 Clubcard Price - Selected Fruits,fruits,2024-11-05
Tesco Galia Melon Each,£2.00,£2.00/each,null,fruits,2024-11-05
Tesco Watermelon,£3.50,£3.50/each,£3.00 Clubcard Price,fruits,2024-11-05
Jaffa Candy Floss Grapes 500G,null,null,null,fruits,2024-11-05
Tesco Blackberries 150G,£2.00,£13.33/kg,null,fruits,2024-11-05
Suntrail Farms Price Orange Minimum 5 Pack,null,null,null,fruits,2024-11-05
Tesco Limes Minimum 5 Pack,£1.19,£0.24/each,null,fruits,2024-11-05
Tesco Ready To Eat Seasonal Pears 4Pack 550G,£1.99,£3.62/kg,null,fruits,2024-11-05
Suntrail Farms Ripen At Home Plum 400G,£1.19,£2.98/kg,99p Clubcard Price,fruits,2024-11-05
Tesco Blueberries 500G,£4.50,£9.00/kg,null,fruits,2024-11-05
Rosedene Farms Small Pear Pack 550G,£0.99,£1.80/kg,null,fruits,2024-11-05
Suntrail Farms Soft Citrus Pack 600G,£0.99,£1.65/kg,null,fruits,2024-11-05
Tesco British Apples Minimum 5 Pack,£1.70,£0.34/each,null,fruits,2024-11-05
Tesco Persimmons Minimum 2 Pack,£1.50,£0.75/each,Save 1/3 £1.00 Clubcard Price,fruits,2024-11-05
Tesco Passion Fruit 3 Pack,£1.30,£0.43/each,null,fruits,2024-11-05
Tesco Pineapple,£0.99,£0.99/each,null,fruits,2024-11-05
Tesco Perfectly Ripe Kiwi,£1.40,£0.35/each,null,fruits,2024-11-05
Tesco Nectarines Minimum 4 Pack,null,null,null,fruits,2024-11-05
Tesco Cherries Punnet 200G,£3.40,£17.00/kg,null,fruits,2024-11-05
Tesco Pomegranates Each,£1.50,£1.50/each,Save 1/3 £1.00 Clubcard Price,fruits,2024-11-05
Rosedene Farms Blackberries 150G,£1.59,£10.60/kg,null,fruits,2024-11-05
Tesco Flaked Almonds 250G,£3.90,£15.60/kg,null,fruits,2024-11-05
