Product,Date,Forecast,Lower,Upper
Bread and cereals,2025-04-01,140.5484502016521,139.15158772985237,141.9453126734518
Bread and cereals,2025-05-01,140.54601540805496,138.42379552227783,142.66823529383208
Bread and cereals,2025-06-01,140.54358065663703,137.8872069474131,143.19995436586098
Bread and cereals,2025-07-01,140.54114594739755,137.44134968206146,143.64094221273365
Bread and cereals,2025-08-01,140.5387112803358,137.05143955916782,144.0259830015038
Bread and cereals,2025-09-01,140.53627665545105,136.7004843255511,144.372068985351
Rice,2025-04-01,113.31721082139305,112.35990934492415,114.27451229786195
Rice,2025-05-01,112.37528471433448,111.11685292858145,113.63371650008752
Rice,2025-06-01,112.18682240584624,110.92079113445428,113.45285367723821
Rice,2025-07-01,111.85464695314334,110.58873518755689,113.1205587187298
Rice,2025-08-01,111.55839888890813,110.2923446572812,112.82445312053505
Rice,2025-09-01,111.2543479599277,109.98832189582849,112.5203740240269
Flours and other cereals,2025-04-01,106.60377558525096,105.92291179139984,107.28463937910207
Flours and other cereals,2025-05-01,106.49630659125197,105.72001500051657,107.27259818198736
Flours and other cereals,2025-06-01,106.43744753089535,105.6347404137036,107.24015464808711
Flours and other cereals,2025-07-01,106.40521135879445,105.59474853793405,107.21567417965484
Flours and other cereals,2025-08-01,106.38755611955985,105.57478134295687,107.20033089616282
Flours and other cereals,2025-09-01,106.37788662556859,105.56441964069788,107.19135361043931
Bread,2025-04-01,135.8888866970189,135.0734484530026,136.7043249410352
Bread,2025-05-01,135.8635906688311,134.73259916718015,136.99458217048206
Bread,2025-06-01,136.16585741110728,134.9343191097443,137.39739571247026
Bread,2025-07-01,136.16585741110728,134.9343191097443,137.39739571247026
Bread,2025-08-01,136.16585741110728,134.9343191097443,137.39739571247026
Bread,2025-09-01,136.16585741110728,134.9343191097443,137.39739571247026
Other bakery products,2025-04-01,161.66045779442055,159.45479737597384,163.86611821286726
Other bakery products,2025-05-01,161.64771531741735,157.21841691188516,166.07701372294954
Other bakery products,2025-06-01,161.6349738448077,155.77237159946418,167.4975760901512
Other bakery products,2025-07-01,161.6222333765124,154.61372423307094,168.63074251995388
Other bakery products,2025-08-01,161.60949391245234,153.6178751332806,169.60111269162408
Other bakery products,2025-09-01,161.59675545254834,152.73050391385712,170.46300699123955
Pizza and quiche,2025-04-01,126.3714285714286,121.79259231339063,130.95026482946656
Pizza and quiche,2025-05-01,126.3714285714286,121.79259231339063,130.95026482946656
Pizza and quiche,2025-06-01,126.3714285714286,121.79259231339063,130.95026482946656
Pizza and quiche,2025-07-01,126.3714285714286,121.79259231339063,130.95026482946656
Pizza and quiche,2025-08-01,126.3714285714286,121.79259231339063,130.95026482946656
Pizza and quiche,2025-09-01,126.3714285714286,121.79259231339063,130.95026482946656
Pasta products and couscous,2025-04-01,135.2927371693132,132.14391321735187,138.44156112127453
Pasta products and couscous,2025-05-01,133.90175574124245,130.16327868274524,137.64023279973966
Pasta products and couscous,2025-06-01,133.26622631092764,129.51962833096897,137.0128242908863
Pasta products and couscous,2025-07-01,132.77735494902697,129.02952587682742,136.52518402122652
Pasta products and couscous,2025-08-01,132.3169547396216,128.5655863772692,136.068323101974
Pasta products and couscous,2025-09-01,131.86208171691092,128.10659270180227,135.61757073201957
Breakfast cereals and other cereal products,2025-04-01,125.91533838584334,124.62496911809613,127.20570765359055
Breakfast cereals and other cereal products,2025-05-01,126.51252411474057,125.13149027225985,127.89355795722129
Breakfast cereals and other cereal products,2025-06-01,126.5289155063902,124.747351888204,128.3104791245764
Breakfast cereals and other cereal products,2025-07-01,126.7048586729671,124.9223575254095,128.48735982052472
Breakfast cereals and other cereal products,2025-08-01,127.0406078037282,125.19622887271578,128.8849867347406
Breakfast cereals and other cereal products,2025-09-01,127.05115322041114,125.11221653085767,128.9900899099646
Meat,2025-04-01,128.8,127.36693067438722,130.2330693256128
Meat,2025-05-01,128.8,126.77333392388906,130.82666607611097
Meat,2025-06-01,128.8,126.31785111725635,131.28214888274368
Meat,2025-07-01,128.8,125.93386134875645,131.66613865124359
Meat,2025-08-01,128.8,125.59555957143859,132.00444042856145
Meat,2025-09-01,128.8,125.28971138618981,132.31028861381023
Beef and veal,2025-04-01,132.32852156659234,130.8365143288206,133.82052880436407
Beef and veal,2025-05-01,132.56607151937314,129.14643153452985,135.98571150421643
Beef and veal,2025-06-01,132.59039547787648,126.78336679517486,138.3974241605781
Beef and veal,2025-07-01,132.5733348779664,124.90648270766448,140.24018704826833
Beef and veal,2025-08-01,132.54824561941302,123.35900310073374,141.7374881380923
Beef and veal,2025-09-01,132.52160236834416,122.02336250738814,143.01984222930017
Pork,2025-04-01,143.097919596171,140.76933182393563,145.4265073684064
Pork,2025-05-01,143.49710639417913,140.9969443749974,145.99726841336084
Pork,2025-06-01,143.8955213225754,140.82982901184093,146.96121363330988
Pork,2025-07-01,144.29440640709063,140.98445551734835,147.60435729683292
Pork,2025-08-01,144.69300511321654,141.0302397515989,148.35577047483417
Pork,2025-09-01,145.09177825625514,141.18005578843346,149.00350072407682
Lamb and goat,2025-04-01,163.4,155.1497030821017,171.65029691789832
Lamb and goat,2025-05-01,163.4,151.732318205107,175.06768179489302
Lamb and goat,2025-06-01,163.4,149.1100665606773,177.68993343932272
Lamb and goat,2025-07-01,163.4,146.89940616421129,179.90059383578873
Lamb and goat,2025-08-01,163.4,144.95177525703178,181.84822474296823
Lamb and goat,2025-09-01,163.4,143.19098232470316,183.60901767529685
Poultry,2025-04-01,113.86428571260294,112.57349729072705,115.15507413447882
Poultry,2025-05-01,113.86428571260294,112.57349729072705,115.15507413447882
Poultry,2025-06-01,113.86428571260294,112.57349729072705,115.15507413447882
Poultry,2025-07-01,113.86428571260294,112.57349729072705,115.15507413447882
Poultry,2025-08-01,113.86428571260294,112.57349729072705,115.15507413447882
Poultry,2025-09-01,113.86428571260294,112.57349729072705,115.15507413447882
Edible offal,2025-04-01,167.53405077030376,161.39561927508893,173.6724822655186
Edible offal,2025-05-01,166.95735247606817,159.2735461581858,174.64115879395052
Edible offal,2025-06-01,166.5231449467961,158.08810403248808,174.9581858611041
Edible offal,2025-07-01,166.1962215271136,157.36364637196553,175.02879668226169
Edible offal,2025-08-01,165.95007443123973,156.89989378718755,175.0002550752919
Edible offal,2025-09-01,165.76474542401843,156.5934995907682,174.93599125726865
"Dried, salted or smoked meat",2025-04-01,120.6,118.55374606543448,122.64625393456551
"Dried, salted or smoked meat",2025-05-01,120.6,117.70615993362853,123.49384006637146
"Dried, salted or smoked meat",2025-06-01,120.6,117.05578422006379,124.1442157799362
"Dried, salted or smoked meat",2025-07-01,120.6,116.50749213076372,124.69250786923627
"Dried, salted or smoked meat",2025-08-01,120.6,116.0244371029596,125.1755628970404
"Dried, salted or smoked meat",2025-09-01,120.6,115.58772197600884,125.61227802399115
Other meat preparations,2025-04-01,137.3442574501982,135.9635238666356,138.7249910337608
Other meat preparations,2025-05-01,137.2941265659897,135.60723656651396,138.98101656546544
Other meat preparations,2025-06-01,137.2941265659897,135.60723656651396,138.98101656546544
Other meat preparations,2025-07-01,137.2941265659897,135.60723656651396,138.98101656546544
Other meat preparations,2025-08-01,137.2941265659897,135.60723656651396,138.98101656546544
